"codigo";"Marca";"descripcion";"cantidad";"precio"
"192";"(Ref: 350626)";"Gato";"Sauvignon Blanc Premium Botella 13°";"750 cc";"$2.350"
"193";"(Ref: 657799)";"Gato";"Vino Carmenere";"700 cc";"$2.350"
"194";"(Ref: 658240)";"Gato";"Vino Merlot";"750 cc";"$2.350"
"195";"(Ref: 312705)";"Santa Rita";"Tres Medallas 120 Cabernet";"4 Un 187 cc c/u";"$2.350"
"196";"(Ref: 658237)";"Gato";"Vino Cabernet Sauvignon";"750 cc";"$2.350"
"197";"(Ref: 254022)";"Cousiño Macul";"Vino Carmenere Don Luis";"750 cc";"$2.388"
"198";"(Ref: 350215)";"Santa Rita";"Vino Sauvignon Blanc 120 Tres Medallas Botella";"750 cc";"$2.390"
"199";"(Ref: 295681)";"Santa Rita";"Vino Merlot Tres Medallas Viña Santa Rita Botella";"700 cc";"$2.390"
"200";"(Ref: 313067)";"Santa Rita";"Vino Ensamblaje Gran Edición 120 Botellón";"1500 cc";"$2.390"
"201";"(Ref: 343952)";"Francisco de Aguirre";"Vino Espumante Demi Sec Botella";"750 cc";"$2.390"
"202";"(Ref: 296316)";"Santa Rita";"Vino Carmenere 120 Tres Medallas";"700 cc";"$2.390"
"203";"(Ref: 279702)";"Santa Rita";"Vino Gran Edición 120 Syrah Botella";"1500 cc";"$2.390"
"204";"(Ref: 254281)";"San Pedro";"Vino Cabernet Sauvignon 35 Sur";"750 cc";"$2.390"
"205";"(Ref: 257642)";"Santa Emiliana";"Rosé Botella";"750 cc";"$2.390"
"206";"(Ref: 293406)";"Santa Rita";"Vino Cabernet Sauvignon 120 Tres Medallas";"700 cc";"$2.390"
"207";"(Ref: 377153)";"San Pedro";"Vino Tinto Cabernet Sauvignon Gato Botellón";"1500 cc";"$2.390"
"208";"(Ref: 262899)";"Santa Emiliana";"Vino Merlot";"700 cc";"$2.390"
"209";"(Ref: 262570)";"Santa Emiliana";"Vino Cabernet Sauvignon";"700 cc";"$2.390"
"210";"(Ref: 445282)";"Subercaseaux";"Espumante Sparkling Wine Brut Botella";"375 cc";"$2.390"
"211";"(Ref: 257598)";"Santa Emiliana";"Vino Chardonnay";"700 cc";"$2.390"
"212";"(Ref: 307918)";"35 Sur";"Vino Tinto Carmenére Botella";"750 cc";"$2.390"
"213";"(Ref: 262620)";"Santa Emiliana";"Vino Carmenere";"700 cc";"$2.390"
"214";"(Ref: 348726)";"Francisco de Aguirre";"Vino Espumante Brut Botella";"750 cc";"$2.390"
"215";"(Ref: 293397)";"Santa Rita";"Vino Sauvignon Blanc 120 Botella";"700 cc";"$2.390"
"216";"(Ref: 243534)";"35 Sur";"Vino Merlot Botella";"750 cc";"$2.390"
"217";"(Ref: 263303)";"Santa Emiliana";"Vino Syrah";"700 cc";"$2.390"
"218";"(Ref: 367536)";"San Pedro";"Vino Tinto Merlot Gato Botellón";"1,5 L";"$2.450"
"219";"(Ref: 512103)";"Manquehuito";"Vino Gasificado Pop Wine Piña Botella";"1350 cc";"$2.450"
"220";"(Ref: 512104)";"Manquehuito";"Vino Gasificado Pop Wine Frutos Rojos Botella";"1350 cc";"$2.450"
"221";"(Ref: 446386)";"Viu Manent";"Vino Reserva Cabernet Sauvignon Botella";"375 cc";"$2.489"
"222";"(Ref: 622691)";"Viu Manent";"Vino Reserva Carmenere 2015";"375 ml";"$2.489"
"223";"(Ref: 491937)";"Misiones de Rengo";"Vino Rosé Cabernet Syrah Botella";"750 cc";"$2.490"
"224";"(Ref: 439703)";"San Pedro";"Vino Blanco Exportación Botellón";"1,5 L";"$2.490"
"225";"(Ref: 260086)";"Dos Andes";"Porta Reserva Carmenère Botella";"750 cc";"$2.490"
"226";"(Ref: 257838)";"Concha y Toro";"Vino Sunrise Carmenere Botella";"750 cc";"$2.490"
"227";"(Ref: 257556)";"Concha y Toro";"Vino Cabernet Sauvignon Sunrise Botella";"750 cc";"$2.490"
"228";"(Ref: 419436)";"Reserva de la Hacienda";"Vino Cabernet Sauvignon Botella";"750 ml";"$2.490"
"229";"(Ref: 293584)";"Santa Rita";"Vino Gran 120 Merlot Botella";"1500 cc";"$2.490"
"230";"(Ref: 448853)";"Chilcas";"Vino Cabernet Sauvignon Botella";"750 cc";"$2.490"
"231";"(Ref: 257834)";"Concha y Toro";"Vino Sunrise Merlot Botella";"750 cc";"$2.490"
"232";"(Ref: 294853)";"Misiones de Rengo";"Vino Merlot";"750 cc";"$2.490"
"233";"(Ref: 294448)";"Santa Rita";"Vino Cabernet Sauvignon Gran 120 Botellón";"1500 cc";"$2.490"
"234";"(Ref: 264524)";"San Pedro";"Vino Blanco Gato Caja";"1500 cc";"$2.490"
"235";"(Ref: 243719)";"Dos Andes";"Porta Reserva Merlot Botella";"750 cc";"$2.490"
"236";"(Ref: 497200)";"Santa Rita";"Vino Gran 120 Cabernet Sauvignon Botellón";"2000 cc";"$2.490"
"237";"(Ref: 259862)";"Dos Andes";"Porta Reserva Cabernet Sauvignon Botella";"750 cc";"$2.490"
"238";"(Ref: 532994)";"Santa Rita";"Vino Tinto 120 Carménere Botellón";"2 L";"$2.490"
"239";"(Ref: 294436)";"Santa Rita";"120 Gran Botella";"1500 cc";"$2.490"
"240";"(Ref: 279699)";"Santa Rita";"Vino Gran 120 Carmenere Botella";"1500 cc";"$2.490"
"241";"(Ref: 439695)";"San Pedro";"Vino Tinto Exportación Botellón";"1,5 L";"$2.490"
"242";"(Ref: 259762)";"Errázuriz";"Vino Cortton Reserva Merlot Botella";"750 cc";"$2.500"
