"codigo";"Marca";"descripcion";"cantidad";"precio"
"160";"(Ref: 251060)";"Nivea";"Crema Corporal Reafirmante Q10 Plus Botella";"250 ml";"$4.790"
"161";"(Ref: 402644)";"Skin Naturals";"BB Cream Light Piel Normal Pomo";"75 ml";"$4.790"
"162";"(Ref: 251123)";"Nivea";"Crema Humectante Soft";"200 cc";"$4.790"
"163";"(Ref: 457518)";"Skin Naturals";"BB Cream Light Oil Free Piel Mixta a Grasa Pomo";"60 ml";"$4.790"
"164";"(Ref: 402645)";"Skin Naturals";"BB Cream Medium Piel Normal Pomo";"75 ml";"$4.790"
"165";"(Ref: 622699)";"Nivea";"Crema Corporal Soft Milk";"400 ml";"$4.890"
"166";"(Ref: 625601)";"Nivea";"Loción Micelar";"400 ml";"$4.890"
"167";"(Ref: 243869)";"Nivea";"Crema Corporal Piel Normal Frasco";"400 cc";"$4.890"
"168";"(Ref: 622698)";"Nivea";"Crema Corporal Milk Nutritiva";"400 ml";"$4.890"
"169";"(Ref: 393698)";"Nivea";"Crema Corporal SOS Reparadora Intensiva Botella";"400 ml";"$4.890"
"170";"(Ref: 671186)";"St. Ives";"Crema Corporal con Manzanilla y Protector Solar";"400 ml";"$4.990"
"171";"(Ref: 671183)";"St. Ives";"Crema Corporal Humectación Profunda con Avena y Karité";"400 ml";"$4.990"
"172";"(Ref: 671525)";"Nivea";"Loción Corporal Cereza & Aceite de Jojoba";"400 ml";"$4.990"
"173";"(Ref: 671185)";"St. Ives";"Crema Corporal Piel Renovada con Colágeno y Elastina";"400 ml";"$4.990"
"174";"(Ref: 659483)";"Skin Naturals";"Agua Micelar Pure Active";"400 ml";"$4.990"
"175";"(Ref: 625598)";"Neutrogena";"Jabón Líquido Oil-Free Acne Wash";"177 ml";"$4.990"
"176";"(Ref: 418185)";"Neutrogena";"Exfoliante Facial Oil - Free Pomo";"125 ml";"$4.990"
"177";"(Ref: 671188)";"St. Ives";"Crema Corporal Reafirmante con Algas Marinas y Aloe Vera";"400 ml";"$4.990"
"178";"(Ref: 671523)";"Nivea";"Loción Corporal Vainilla & Aceite de Almendras";"400 ml";"$4.990"
"179";"(Ref: 671517)";"Garnier";"Gel Micelar Todo en 1";"200 ml";"$4.990"
"180";"(Ref: 646302)";"Loreal";"Gel Purify";"150 ml";"$4.990"
"181";"(Ref: 671524)";"Nivea";"Loción Corporal Rosa & Aceite de Argán";"400 ml";"$4.990"
"182";"(Ref: 646303)";"Dermo Expertise";"Gel Efecto Detox Arcillas Puras";"150 ml";"$4.990"
"183";"(Ref: 671194)";"St. Ives";"Crema Corporal Humectación Revitalizante con AcaÍ, Arándanos y Aceite de Semilla de Chía";"400 ml";"$4.990"
"184";"(Ref: 646304)";"Loreal";"Gel Clarify";"150 ml";"$4.990"
"185";"(Ref: 682131)";"Neutrogena";"Exfoliante Facial Purificante";"100 g";"$5.190"
"186";"(Ref: 682129)";"Neutrogena";"Gel de Limpieza Purificante";"150 g";"$5.190"
"187";"(Ref: 577253)";"Petrizzio";"Pack Cremas Faciales Hidratante + Nutrición Caja";"2 Un";"$5.250"
"188";"(Ref: 631297)";"Rayfilter";"PROTECTOR SOLAR SPF50 190 GRS";"190 ml";"$5.290"
"189";"(Ref: 627121)";"Goicoechea";"Crema Arnica Y Manzanilla";"400 ml";"$5.290"
"190";"(Ref: 515948)";"Nivea";"Crema Antiarrugas Q10 Plus Light Día Caja";"50 g";"$5.390"
"191";"(Ref: 516013)";"Nivea";"Crema Antiarrugas Q10 Plus Día Caja";"50 g";"$5.390"
"192";"(Ref: 515947)";"Nivea";"Crema Antiarrugas Q10 Plus Noche Caja";"50 g";"$5.390"
"193";"(Ref: 647081)";"Nivea";"Crema cuerpo Soft";"1000 ml";"$5.450"
"194";"(Ref: 538189)";"Nivea";"Serum Facial Pearls Q10 Antiarrugas Caja";"40 g";"$5.450"
"195";"(Ref: 647080)";"Nivea";"Crema Corporal Essencial Milk";"1000 ml";"$5.450"
"196";"(Ref: 618655)";"Lubriderm";"Crema Piel Sensible Hipoalergénico Botella";"400 ml";"$5.490"
"197";"(Ref: 592063)";"L'Oréal";"Desmaquillante Bifásico Hidra-Total 5 Todo Tipo de Piel Frasco";"125 ml";"$5.490"
"198";"(Ref: 671567)";"Lactovit";"Leche Corporal Lactourea";"1000 ml";"$5.490"
"199";"(Ref: 577303)";"Neutrogena";"Gel de Limpieza Ultra Gentle Frasco";"354 ml";"$5.490"
"200";"(Ref: 547835)";"St. Ives";"Spray Fresh Hidration Lotion Oat Lata";"184 g";"$5.590"
"201";"(Ref: 547834)";"St. Ives";"Spray Fresh Hidration Lotion Coconut Lata";"184 g";"$5.590"
"202";"(Ref: 592074)";"Nivea";"Crema Corporal Reafirmante Todo Tipo de Piel Frasco";"1000 ml";"$5.730"
"203";"(Ref: 577252)";"Petrizzio";"Pack Cremas Faciales Reafirmante + Nutrición";"";"$5.750"
"204";"(Ref: 647082)";"Nivea";"Crema cuerpo Q10";"1000 ml";"$5.750"
"205";"(Ref: 577307)";"Neutrogena";"Pack Crema de Manos sin Perfume Caja";"2 Un";"$5.790"
