"codigo";"Marca";"descripcion";"cantidad";"precio"
"149";"(Ref: 588493)";"Watt's";"Mermelada sin Azúcar Sabor Berries Doypack";"350 g";"$1.690"
"150";"(Ref: 286635)";"Lider";"Semillas de Amapola Bolsa";"125 g";"$1.690"
"151";"(Ref: 588492)";"Watt's";"Mermelada sin Azúcar Sabor Durazno Doypack";"350 g";"$1.690"
"152";"(Ref: 476539)";"Pictolín";"Masticables sin Azúcar Sabores Surtidos Bolsa";"65 g";"$1.750"
"153";"(Ref: 677550)";"En Línea";"Chocolate con Almendras Nuss - Sin Aúcar";"50 g";"$1.780"
"154";"(Ref: 253454)";"Nutra Food";"Mezcla para Queques Sabor Chocolate sin Azúcar";"300 g";"$1.790"
"155";"(Ref: 501461)";"Quickbury";"Chocolate Blanco Zero Caja";"75 g";"$1.790"
"156";"(Ref: 369636)";"Nutra Food";"Mezcla para Preparar Queques Sabor Vainilla";"300 g";"$1.791"
"157";"(Ref: 591762)";"Gullón";"Galleta Chips sin Gluten ni Azucar";"130 g";"$1.850"
"158";"(Ref: 654699)";"Dietorelle";"Gomitas de frutilla Sin Gluten";"7 g";"$1.850"
"159";"(Ref: 478870)";"Dietorelle";"Gomitas Mora y Frutilla sin Azucar";"70 g";"$1.850"
"160";"(Ref: 315654)";"De Bron";"Marshmallows Sin Azúcar";"75 g";"$1.850"
"161";"(Ref: 478872)";"Dietorelle";"Gomitas Naranja y Pomelo Rosado sin Azúcar";"70 g";"$1.850"
"162";"(Ref: 478873)";"Dietorelle";"Gomitas Frutos del Bosque sin Azucar";"70 g";"$1.850"
"163";"(Ref: 444684)";"Blue Dragon";"Macarrones Pasta de Arroz";"250 g";"$1.890"
"164";"(Ref: 452835)";"Quickbury";"Chocolate de Leche Zero Caja";"75 g";"$1.890"
"165";"(Ref: 243018)";"Eckart";"Dulce de Membrillo sin Azúcar Pote";"330 g";"$1.950"
"166";"(Ref: 655574)";"No + Gluten";"Pan de Queso precocido";"300 g";"$1.950"
"167";"(Ref: 349437)";"Huertos del Lago";"Mermelada de Mora con Stevia";"230 g";"$1.951"
"168";"(Ref: 349439)";"Huertos del Lago";"Mermelada con Stevia Sabor Naranja Frasco";"230 g";"$1.951"
"169";"(Ref: 313825)";"Gullón";"Galleta Chocolate Sin Gluten Caja";"200 g";"$1.990"
"170";"(Ref: 661160)";"Mizos";"Snack a Base de Papa con Sal de Mar";"105 g";"$1.990"
"171";"(Ref: 661159)";"Mizos";"Snack a Base de Papa con Romero";"105 g";"$1.990"
"172";"(Ref: 312218)";"Ecovida";"Galletas Integrales sin Gluten Sabor Coco";"150 g";"$1.990"
"173";"(Ref: 661158)";"Mizos";"Snack a Base de Lentejas";"98 g";"$1.990"
"174";"(Ref: 503145)";"Ecovida";"Galleta Choco Chips Sin Gluten Caja";"150 g";"$1.990"
"175";"(Ref: 312219)";"Ecovida";"Galletas Chips Sin Gluten Caja";"150 g";"$1.990"
"176";"(Ref: 623522)";"Nun";"Harina Trigo, Quinoa y Algas Marinas";"700 gr";"$2.000"
"177";"(Ref: 689045)";"Rice Crisps";"Galleta de Arroz Sabor Sal de Mar";"100 g";"$2.050"
"178";"(Ref: 592528)";"Rice Crisps";"Galleta de Arroz Integral Sabor Sésamo";"100 g";"$2.050"
"179";"(Ref: 656369)";"Nature's Charm";"Alimento Condensado Coco";"320 g";"$2.090"
"180";"(Ref: 655461)";"Gullón";"Galletas Crackers - Sin Gluten ni lactosa";"250 g";"$2.090"
"181";"(Ref: 313826)";"Gullón";"Galletas pastas - Sin Gluten ni lactosa";"200 g";"$2.090"
"182";"(Ref: 656930)";"Berief";"Alimento Líquido de Soya Vainilla Orgánico 1 L";"1 L";"$2.090"
"183";"(Ref: 656929)";"Berief";"Alimento Líquido de Soya Orgánico 1 L";"1 L";"$2.090"
"184";"(Ref: 558370)";"Riso Scotti";"Alimento Líquido de Arroz Chocolate Orgánico 1 L";"1 L";"$2.150"
"185";"(Ref: 542417)";"En Línea";"Mermelada sin Azúcar Sabor Frutilla Frasco";"320 g";"$2.190"
"186";"(Ref: 542414)";"En Línea";"Mermelada sin Azúcar Sabor Damasco Frasco";"320 g";"$2.190"
"187";"(Ref: 253499)";"Olvebra";"Condensada de Soya Tarro";"320 g";"$2.190"
"188";"(Ref: 542416)";"En Línea";"Mermelada sin Azúcar Sabor Mora Frasco";"320 g";"$2.190"
"189";"(Ref: 501300)";"Guylian";"Chocolate de Leche sin Azúcar Barra";"100 g";"$2.250"
"190";"(Ref: 655575)";"BIO de Santiveri";"Tostadas de Tomate";"100 g";"$2.290"
"191";"(Ref: 655606)";"Nature's Charm";"Alimento Evaporado Coco";"360 ml";"$2.290"
"192";"(Ref: 655573)";"BIO de Santiveri";"Tostadas de Cebolla";"100 g";"$2.290"
