"codigo";"Marca";"descripcion";"cantidad";"precio"
"194";"(Ref: 263626)";"Colun";"Leche Semidescremada Sabor Chocolate Caja";"1 L";"$1.150"
"195";"(Ref: 522924)";"Soprole";"Leche Descremada Natural Caja";"1 L";"$760"
"196";"(Ref: 612735)";"Colun";"Leche Descremada Sin Lactosa con Tapa";"1 L";"$980"
"197";"(Ref: 522923)";"Soprole";"Leche Semidescremada Natural Caja";"1 L";"$760"
"198";"(Ref: 263567)";"Lider";"Leche Entera Natural Caja";"1 L";"$720"
"199";"(Ref: 270027)";"Colun";"Leche Larga Vida Sabor Chocolate Caja";"200 g";"$360"
"200";"(Ref: 254357)";"Soprole";"Leche Semidescremada Sabor Chocolate Caja";"1 L";"$1.190"
"201";"(Ref: 254314)";"Soprole";"Leche Descremada Natural sin Lactosa Caja";"1 L";"$950"
"202";"(Ref: 399584)";"Nestlé";"Milo Bolsa";"1,5 Kg";"$7.990"
"203";"(Ref: 263807)";"Nido";"Leche Semidescremada en Polvo Etapas 5+ Bolsa";"800 g";"$4.690"
"204";"(Ref: 623513)";"Nido";"Leche Semidescremada en Polvo Etapa 1+";"1800 g";"$11.190"
"205";"(Ref: 522925)";"Soprole";"Leche Entera Natural Caja";"1 L";"$760"
"206";"(Ref: 263680)";"Svelty";"Leche Descremada";"800 g";"$4.790"
"207";"(Ref: 459330)";"Surlat";"Leche Descremada sin Lactosa Caja";"1 L";"$970"
"208";"(Ref: 295004)";"Calo";"Leche Entera en Polvo Bolsa";"900 g";"$4.190"
"209";"(Ref: 612734)";"Colun";"Leche Sin Lactosa Semi Descremada con Tapa";"1 L";"$980"
"210";"(Ref: 254334)";"Soprole";"Leche Semidescremada sin Lactosa Sabor Chocolate Caja";"1 L";"$1.150"
"211";"(Ref: 671451)";"Loncoleche";"Bombillin Sabor Chocolate Light (4 Un 200 cc c/u)";"4 Un";"$1.000"
"212";"(Ref: 517407)";"Colun";"Leche Entera en Polvo Bolsa";"1440 g";"$5.800"
"213";"(Ref: 517409)";"Colun";"Leche Descremada en Polvo Bolsa";"600 g";"$3.090"
"214";"(Ref: 671452)";"Loncoleche";"Bombillin Sabor Chocolate sin Lactosa (4 Un 200 cc c/u)";"4 Un";"$1.000"
"215";"(Ref: 500680)";"Lider";"Leche Descremada sin Lactosa Caja";"1 L";"$780"
"216";"(Ref: 294375)";"Loncoleche";"Leche Semidescremada Natural sin Lactosa Caja";"1 L";"$890"
"217";"(Ref: 295554)";"Calo";"Leche Descremada en Polvo Bolsa";"800 g";"$3.690"
"218";"(Ref: 270021)";"Colun";"Leche Semi Descremada Sabor Frutilla Caja";"200 cc";"$360"
"219";"(Ref: 268833)";"Soprole";"Leche Semidescremada Sabor Chocolate Caja";"200 g";"$360"
"220";"(Ref: 254347)";"Soprole";"Leche Semidescremada Sabor Frutilla Caja";"1 L";"$1.190"
"221";"(Ref: 671450)";"Loncoleche";"Bombillin Sabor Chocolate (4 Un 200 cc c/u)";"4 Un";"$1.000"
"222";"(Ref: 257913)";"Colun";"Leche Descremada Caja";"200 cc";"$360"
"223";"(Ref: 263927)";"Nestlé";"Milo Bolsa";"1 Kg";"$5.490"
"224";"(Ref: 405099)";"Colun";"Leche con Chocolate Light";"200 cc";"$360"
"225";"(Ref: 591837)";"Lider";"Leche en Polvo Entera Bolsa";"1600 g";"$6.990"
"226";"(Ref: 539682)";"Soprole";"Leche Descremada Light Sabor Chocolate Caja";"1 L";"$1.150"
"227";"(Ref: 671454)";"Loncoleche";"Bombillin Yogu Yogu Sabor Mora (4 Un 200 cc c/u)";"4 Un";"$1.000"
"228";"(Ref: 254324)";"Soprole";"Leche Semidescremada Natural sin Lactosa Caja";"1 L";"$950"
"229";"(Ref: 270013)";"Colun";"Leche Vainilla Caja";"200 cc";"$360"
"230";"(Ref: 671453)";"Loncoleche";"Bombillin Yogu Yogu Sabor Frutilla (4 Un 200 cc c/u)";"4 Un";"$1.000"
"231";"(Ref: 459328)";"Surlat";"Leche Semidescremada sin Lactosa Caja";"1 L";"$970"
"232";"(Ref: 509938)";"Soprole";"Leche Semidescremada sin Lactosa Sabor Chocolate Caja";"200 g";"$340"
"233";"(Ref: 500681)";"Lider";"Leche Semidescremada sin Lactosa Caja";"1 L";"$780"
"234";"(Ref: 460536)";"Svelty";"Leche en Polvo Descremada sin Lactosa Bolsa";"800 g";"$6.290"
"235";"(Ref: 263942)";"Nestlé";"Milo Bolsa";"500 g";"$3.290"
"236";"(Ref: 294411)";"Loncoleche";"Leche Semidescremada Sabor Chocolate Caja";"1 L";"$1.150"
"237";"(Ref: 426889)";"Loncoleche";"Leche Descremada Natural Extra Calcio sin Lactosa Caja";"1 L";"$1.190"
"238";"(Ref: 594202)";"Nido";"Leche Entera en Polvo sin Gluten Tarro";"1820 g";"$9.790"
"239";"(Ref: 257512)";"Calo";"Leche Semidescremada en Polvo Bolsa";"800 g";"$3.690"
"240";"(Ref: 257002)";"Loncoleche";"Leche Descremada Natural sin Lactosa Caja";"1 L";"$890"
"241";"(Ref: 612733)";"Colun";"Leche Sin Lactosa Entera con Tapa";"1 L";"$980"
"242";"(Ref: 591836)";"Lider";"Leche en Polvo Entera Bolsa";"900 g";"$3.990"
"243";"(Ref: 248734)";"Cola Cao";"Saborizante en Polvo Sabor Chocolate Bolsa";"750 g";"$2.550"
"244";"(Ref: 546681)";"Danone";"Leche Cappuccino Moments Caja";"1 L";"$1.250"
"245";"(Ref: 671455)";"Shake Shake";"Bombillin Sabor Manjar (4 Un 200 cc c/u)";"4 Un";"$1.000"
"246";"(Ref: 405190)";"Colun";"Leche Entera Natural Caja";"200 cc";"$360"
