"codigo";"Marca";"descripcion";"cantidad";"precio"
"139";"(Ref: 599533)";"Super Pollo";"Pechuga Deshuesada de Pollo Bolsa";"700 g";"$2.690"
"140";"(Ref: 475349)";"Granja Tres Arroyos";"Filetito de Pollo IQF Bolsa";"800 g";"$3.890"
"141";"(Ref: 553936)";"Seara";"Pechuga Deshuesada de Pollo Congelado Bolsa";"800 g";"$2.190"
"142";"(Ref: 618998)";"Granja Tres Arroyos";"Filetitos de Pechuga de Pollo";"1600 g";"$5.990"
"143";"(Ref: 627481)";"Super Pollo";"Filetito Pollo";"830 g";"$3.390"
"144";"(Ref: 463953)";"Ariztía";"Pollo Trozado Marinado Pechuga Deshuesada Bandeja";"900 g";"$3.690"
"145";"(Ref: 475348)";"Granja Tres Arroyos";"Pechuga Deshuesada de Pollo Bolsa";"800 g";"$3.000"
"146";"(Ref: 449406)";"Super Pollo";"Trutro Corto Bolsa";"800 g";"$1.990"
"147";"(Ref: 450573)";"Super Pollo";"Trutros Combinados de Pollo Bolsa";"1,9 Kg";"$4.190"
"148";"(Ref: 553937)";"Seara";"Filete de Pechuga de Pollo Desgrasado Bolsa";"800 g";"$2.390"
"149";"(Ref: 464090)";"Ariztía";"Pechuga Entera Marinada";"900 g";"$2.421"
"150";"(Ref: 512277)";"Super Pollo";"Tiritas de Pechuga de Pollo Bolsa";"700 g";"$4.390"
"151";"(Ref: 627485)";"Super Pollo";"Pechuga Deshuesada";"850 g";"$3.390"
"152";"(Ref: 553935)";"Seara";"Trutro Entero Pollo Congelado";"2 Kg";"$3.990"
"153";"(Ref: 449405)";"Super Pollo";"Trutro Largo Bolsa";"800 g";"$2.190"
"154";"(Ref: 621316)";"Ariztía";"Pechuga Deshuesada de Pollo IQF";"700 g";"$2.490"
"155";"(Ref: 613016)";"Ariztía";"Filetitos de Pollo";"480 g";"$2.490"
"156";"(Ref: 410553)";"Seara";"Trutro Corto de Pollo Congelado Bolsa";"800 g";"$1.690"
