"codigo";"Marca";"descripcion";"cantidad";"precio"
"125";"(Ref: 469059)";"Cebolla";"Pote Salsa Verde";"200 gr";"$1.190"
"126";"(Ref: 387231)";"Cilantro";"Cilantro Baby Bandeja";"60 g";"$1.190"
"127";"(Ref: 402437)";"Champiñones";"Champiñon Laminado";"200 gr";"$1.190"
"128";"(Ref: 477979)";"Cebolla";"Cebolla Blanca Malla";"1 Kg";"$1.190"
"129";"(Ref: 669390)";"Lider";"Ensalada Toscana";"300 g";"$1.250"
"130";"(Ref: 458722)";"Albahaca";"Albahaca";"1 Un";"$1.290"
"131";"(Ref: 523097)";"Tomates";"Tomate Regy Cocktail";"250 g";"$1.290"
"132";"(Ref: 469057)";"Cebolla";"Ensalada Cebolla Cubo Pote 200 g";"200 g";"$1.290"
"133";"(Ref: 458726)";"Champiñones";"Champiñones Portobello Bandeja";"200 g";"$1.350"
"134";"(Ref: 282094)";"Ensalada";"Ensalada Lechuga Escarola Unidad";"300 g";"$1.390"
"135";"(Ref: 598021)";"Kale";"Kale Bolsa";"300 g";"$1.390"
"136";"(Ref: 319122)";"Ají";"Ají Surtido Bandeja";"3 Un";"$1.450"
"137";"(Ref: 639235)";"Lider";"Esparragos";"300 g";"$1.590"
"138";"(Ref: 284953)";"Chapsui";"Base Wok";"1 Un";"$1.590"
"139";"(Ref: 694040)";"Papas";"Papas Sazonadas";"650 g";"$1.590"
"140";"(Ref: 534793)";"Zapallo";"Zapallo Spaguetti";"1 Un";"$1.590"
"141";"(Ref: 669400)";"Ensalada";"Ensalada Espinaca";"200 g";"$1.650"
"142";"(Ref: 469058)";"Cebolla";"Cebolla Morada Pluma";"170 gr";"$1.650"
"143";"(Ref: 28204)";"Tomates";"Tomate Berry Cocktail";"250 g";"$1.690"
"144";"(Ref: 285247)";"Rúcula";"Rúcula Hojas Fresh Cut Pote";"150 g";"$1.690"
"145";"(Ref: 465961)";"Chapsui";"Chapsui Col";"1 Un";"$1.690"
"146";"(Ref: 357341)";"Chapsui";"Chapsui Wok Mongoliano";"1 Un";"$1.690"
"147";"(Ref: 536678)";"Ensalada";"Kale Baby";"150 gr";"$1.750"
"148";"(Ref: 669417)";"Lider";"Ensalada Apio Varitas";"300 g";"$1.790"
"149";"(Ref: 281482)";"Zapallo";"Zapallo Entero";"1 Un";"$1.790"
"150";"(Ref: 386871)";"Ensalada";"Fresh Cut Baby Leaf Caja";"150 g";"$1.790"
"151";"(Ref: 280757)";"Zapallo";"Zapallo Árabe";"1 Un";"$1.790"
"152";"(Ref: 669387)";"Lider";"Ensalada Apio Media Luna";"420 g";"$1.790"
"153";"(Ref: 282116)";"Puerro";"Puerro Bolsa";"4 Un";"$1.890"
"154";"(Ref: 652019)";"Ensalada";"Corazones De Tudela";"600 gr";"$1.890"
"155";"(Ref: 358783)";"Ensalada";"Ensalada Repollo";"600 gr";"$1.950"
"156";"(Ref: 281313)";"Apio";"Ensalada Apio Vara";"500 g";"$1.990"
"157";"(Ref: 283226)";"Chapsui";"Chapsui Especial";"1 Un";"$1.990"
"158";"(Ref: 481515)";"Papas";"Papa Baby Bolsa";"1 Un";"$1.990"
"159";"(Ref: 284957)";"Chapsui";"Chap sui";"1 Un";"$1.990"
"160";"(Ref: 280687)";"Bruselas";"Bruselas Malla";"500 g";"$1.990"
"161";"(Ref: 392071)";"Espinaca";"Espinaca Baby Fresh Cut Caja";"150 g";"$1.990"
"162";"(Ref: 281766)";"Aloe Vera";"Aloe Vera Hojas Unidad";"1 Un";"$1.990"
"163";"(Ref: 640225)";"Ensalada";"Mix Baby, Roble Y Kale";"140 gr";"$2.090"
"164";"(Ref: 289812)";"Rúcula";"Rúcula Baby Pote";"140 g";"$2.090"
"165";"(Ref: 281684)";"Apio";"Ensalada Apio Juliana";"1 Un";"$2.090"
"166";"(Ref: 283874)";"Ensalada";"Ensalada Italiana Bolsa";"400 g";"$2.090"
