"codigo";"Marca";"descripcion";"cantidad";"precio"
"152";"(Ref: 627354)";"Vanish";"Quitamanchas polvo blanco doypack";"450 g";"$3.050"
"153";"(Ref: 498975)";"KH-7";"Quitamanchas Ropa Blanca y de Color, Botella Recarga.";"750 ml";"$3.150"
"154";"(Ref: 503179)";"Vanish";"Prelavado para Ropa White Botella";"500 ml";"$3.250"
"155";"(Ref: 542635)";"Clorox";"Cloro Ropa Blanca Poder Dual Botella";"4 L";"$3.750"
"156";"(Ref: 269211)";"Popeye";"Detergente Líquido Hipoalergénico Botella";"1 L";"$3.950"
"157";"(Ref: 394138)";"Fuzol";"Detergente Líquido Forte Doypack";"1,5 L";"$4.150"
"158";"(Ref: 320842)";"Omo";"Detergente en Polvo Hipoalergénico Piel Sensible";"1 Kg";"$4.690"
"159";"(Ref: 637346)";"Febreze";"Aromatizante de Telas Dormitorio";"800 ml";"$4.950"
"160";"(Ref: 507065)";"Downy";"Suavizante Ultra Infusions Lavander Serenity";"1230 ml";"$4.990"
"161";"(Ref: 671624)";"Vanish";"Quitamanchas Líquido Max";"3785 ml";"$6.490"
"162";"(Ref: 605756)";"Clorox";"Quita Manchas Ropa Color sin Cloro Doypack 900 g";"900 g";"$7.190"
"163";"(Ref: 605753)";"Clorox";"Quita Manchas Ropa Blanca sin Cloro Doypack 900 g";"900 g";"$7.190"
"164";"(Ref: 662352)";"Fuzol";"Detergente y Suavizante Recarga";"3000 ml";"$7.850"
"165";"(Ref: 399774)";"Drive";"Detergente Líquido Concentrado Recarga";"1 L";"$7.990"
"166";"(Ref: 693548)";"Ariel";"Detergente Líquido Concentrado Revitacolor";"1200 ml";"$8.250"
"167";"(Ref: 606707)";"Ariel";"Detergente Pods 16 Cápsulas";"368 g";"$8.650"
"168";"(Ref: 695730)";"Fuzol";"Detergente Pack Forte 2 Un x 3 Litros";"1 Un";"$9.990"
"169";"(Ref: 695729)";"Fuzol";"Detergente Pack Forte + Color Protect 2 Un x 3 Litros";"1 Un";"$9.990"
"170";"(Ref: 694975)";"Omo";"Detergente Líquido Piel Sensible Doypack";"2700 ml";"$10.190"
"171";"(Ref: 555050)";"Omo";"Detergente Líquido Progress Botella";"2,8 L";"$10.590"
"172";"(Ref: 694976)";"Omo";"Detergente Líquido Piel Sensible Botella";"2700 ml";"$11.290"
"173";"(Ref: 658125)";"Omo";"Detergente en polvo para Piel Sensible";"3000 g";"$11.790"
"174";"(Ref: 662455)";"Tide";"Detergente Tide Refreshing Breeze";"1770 ml";"$11.990"
"175";"(Ref: 662457)";"Tide";"Detergente Simply Daybreak Fresh";"1770 ml";"$11.990"
"176";"(Ref: 693549)";"Ariel";"Detergente Líquido Revitacolor";"2800 ml";"$16.590"
"177";"(Ref: 689200)";"Ariel";"Detergente en Polvo Downy";"9 Kg";"$16.990"
"178";"(Ref: 668809)";"Mainstays";"Basurero Cromado Gris";"1 Un";"$3.990"
"179";"(Ref: 668811)";"Mainstays";"Basurero Cromado Blanco";"1 Un";"$3.990"
"180";"(Ref: 668808)";"Mainstays";"Basurero Cromado Menta";"1 Un";"$3.990"
"181";"(Ref: 668810)";"Mainstays";"Basurero Cromado Rosa";"1 Un";"$3.990"
"182";"(Ref: 668812)";"Mainstays";"Basurero Cromado Azul";"1 Un";"$3.990"
"183";"(Ref: 269017)";"Acuenta";"Set Cepillo WC";"";"$2.290"
"184";"(Ref: 625900)";"Mr Musculo";"Pack Bloque para Estanque Inodoro";"2 Un";"$1.850"
"185";"(Ref: 539860)";"Haus";"Forro Cortina de Baño Blanco";"";"$1.490"
"186";"(Ref: 523882)";"Scotch-Brite";"Mopa Limpieza Para Ducha";"";"$6.590"
"187";"(Ref: 653197)";"Mainstays";"Pesa Digital";"1 Un";"$6.990"
"188";"(Ref: 653189)";"Haus";"Set 12 Ganchos De Cortina Plasticos";"1 Un";"$990"
"189";"(Ref: 653187)";"Haus";"Set 12 Ganchos De Cortina Metálicos ( Varios Colores)";"1 Un";"$1.490"
"190";"(Ref: 615643)";"Haus";"Forro Cortina de Baño Transparente 180 x 180 cm";"1 Un";"$1.490"
"191";"(Ref: 615641)";"Haus";"Forro Cortina de Baño Frosted 180 x 180 cm";"1 Un";"$1.490"
"192";"(Ref: 494802)";"Haus";"Toalla de Mano Amarilla";"";"$1.592"
"193";"(Ref: 494800)";"Haus";"Toalla de Mano Blanca";"";"$1.592"
"194";"(Ref: 491042)";"Haus";"Toalla de Mano Lima";"";"$1.592"
"195";"(Ref: 494801)";"Haus";"Toalla de Mano Porcelana";"";"$1.592"
"196";"(Ref: 585425)";"Haus";"Toalla Mano Morada";"";"$1.592"
"197";"(Ref: 585426)";"Haus";"Toalla Mano Turquesa";"";"$1.592"
"198";"(Ref: 491044)";"Haus";"Toalla de Mano Sandía";"";"$1.592"
"199";"(Ref: 264290)";"Acuenta";"Sopapo";"";"$1.890"
"200";"(Ref: 669854)";"Haus";"Piso Espuma ( Varios Colores)";"1 Un";"$1.990"
"201";"(Ref: 653195)";"Haus Kids";"Set 6 Antideslizante Kids";"1 Un";"$1.990"
"202";"(Ref: 269023)";"Acuenta";"Cepillo para WC";"";"$1.990"
"203";"(Ref: 673616)";"Haus Kids";"Set Baño Kids";"1 Un";"$1.990"
"204";"(Ref: 674602)";"Mainstays";"Dispensador Vidrio ( Diseños Surtidos)";"1 Un";"$1.990"
"205";"(Ref: 669853)";"Haus";"Set 6 Antideslizantes";"1 Un";"$1.990"
"206";"(Ref: 653196)";"Haus";"Basurero Plástico ( Varios Colores)";"1 Un";"$1.990"
"207";"(Ref: 669856)";"Mainstays";"Dispensador Vidrio";"1 Un";"$1.990"
"208";"(Ref: 653193)";"Haus";"Piso De Baño Antideslizante";"1 Un";"$1.990"
"209";"(Ref: 494805)";"Haus";"Toalla de Mano Ivory";"";"$1.990"
"210";"(Ref: 650320)";"Mainstays";"Toalla de Mano Spa Gris";"";"$2.990"
"211";"(Ref: 650332)";"Mainstays";"Toalla de Mano Zero Menta";"";"$2.990"
"212";"(Ref: 653188)";"Mainstays";"Set 12 Ganchos De Cortina Cerámica ( Varios Colores)";"1 Un";"$2.990"
"213";"(Ref: 650489)";"Haus";"Piso Baño Morado";"1 Un";"$2.990"
"214";"(Ref: 650318)";"Mainstays";"Toalla de Mano Spa Azul";"";"$2.990"
"215";"(Ref: 650484)";"Haus";"Piso Baño Ivory";"1 Un";"$2.990"
"216";"(Ref: 670426)";"Haus";"Cortina Peva ( Varios Diseños)";"1 Un";"$2.990"
"217";"(Ref: 650316)";"Mainstays";"Toalla de Mano Spa Rosa";"";"$2.990"
"218";"(Ref: 650319)";"Mainstays";"Toalla de Mano Spa Grafito";"";"$2.990"
"219";"(Ref: 669855)";"Haus Kids";"Piso Espuma Niños ( Varios Diseños)";"1 Un";"$2.990"
"220";"(Ref: 650490)";"Haus";"Piso Baño Turquesa";"1 Un";"$2.990"
"221";"(Ref: 650317)";"Mainstays";"Toalla de Mano Spa Blanca";"";"$2.990"
"222";"(Ref: 650481)";"Haus";"Piso Baño Azul";"1 Un";"$2.990"
